Land;Bundesland;PLZ;Ort
Österreich;Niederösterreich;2125;Neubau
Österreich;Niederösterreich;2126;Ladendorf
Österreich;Niederösterreich;2130;Mistelbach
Österreich;Niederösterreich;2132;Frättingsdorf
Österreich;Niederösterreich;2133;Loosdorf
Österreich;Niederösterreich;2134;Staatz-Kautendorf
Österreich;Niederösterreich;2135;Neudorf im Weinviertel
Österreich;Niederösterreich;2136;Laa an der Thaya
Österreich;Niederösterreich;2141;Ameis
Österreich;Niederösterreich;2143;Großkrut
Österreich;Niederösterreich;2144;Altlichtenwarth
Österreich;Niederösterreich;2145;Hausbrunn
Österreich;Niederösterreich;2151;Asparn an der Zaya
Österreich;Niederösterreich;2152;Gnadendorf
Österreich;Niederösterreich;2153;Stronsdorf
Österreich;Niederösterreich;2154;Unterstinkenbrunn
Österreich;Niederösterreich;2161;Poysbrunn
Österreich;Niederösterreich;2162;Falkenstein
Österreich;Niederösterreich;2163;Ottenthal
Österreich;Niederösterreich;2164;Wildendürnbach
Österreich;Niederösterreich;2165;Drasenhofen
Österreich;Niederösterreich;2170;Poysdorf
Österreich;Niederösterreich;2171;Herrnbaumgarten
Österreich;Niederösterreich;2172;Schrattenberg
Österreich;Niederösterreich;2181;Dobermannsdorf
Österreich;Niederösterreich;2182;Palterndorf
Österreich;Niederösterreich;2183;Neusiedl an der Zaya
Österreich;Niederösterreich;2184;Hauskirchen
Österreich;Niederösterreich;2185;Prinzendorf an der Zaya
Österreich;Niederösterreich;2191;Gaweinstal
Österreich;Niederösterreich;2192;Kettlasbrunn
Österreich;Niederösterreich;2193;Wilfersdorf
Österreich;Niederösterreich;2201;Gerasdorf
Österreich;Niederösterreich;2202;Enzersfeld
Österreich;Niederösterreich;2203;Großebersdorf
Österreich;Niederösterreich;2211;Pillichsdorf
Österreich;Niederösterreich;2212;Großengersdorf
Österreich;Niederösterreich;2213;Bockfließ
Österreich;Niederösterreich;2214;Auersthal
Österreich;Niederösterreich;2215;Raggendorf
Österreich;Niederösterreich;2221;Groß Schweinbarth
Österreich;Niederösterreich;2222;Bad Pirawarth
Österreich;Niederösterreich;2223;Hohenruppersdorf
Österreich;Niederösterreich;2224;Obersulz
Österreich;Niederösterreich;2225;Zistersdorf
Österreich;Niederösterreich;2230;Gänserndorf
Österreich;Niederösterreich;2231;Strasshof an der Nordbahn
Österreich;Niederösterreich;2232;Deutsch Wagram
Österreich;Niederösterreich;2241;Schönkirchen
Österreich;Niederösterreich;2242;Prottes
Österreich;Niederösterreich;2243;Matzen
Österreich;Niederösterreich;2244;Spannberg
Österreich;Niederösterreich;2245;Velm-Götzendorf
Österreich;Niederösterreich;2251;Ebenthal
Österreich;Niederösterreich;2252;Ollersdorf
Österreich;Niederösterreich;2253;Weikendorf
Österreich;Niederösterreich;2261;Angern an der March
Österreich;Niederösterreich;2262;Stillfried
Österreich;Niederösterreich;2263;Dürnkrut
Österreich;Niederösterreich;2264;Jedenspeigen
Österreich;Niederösterreich;2265;Drösing
Österreich;Niederösterreich;2272;Niederabsdorf
Österreich;Niederösterreich;2273;Hohenau an der March
Österreich;Niederösterreich;2274;Rabensburg
Österreich;Niederösterreich;2275;Bernhardsthal
Österreich;Niederösterreich;2276;Reintal
Österreich;Niederösterreich;2280;Glinzendorf
Österreich;Niederösterreich;2281;Raasdorf
Österreich;Niederösterreich;2282;Markgrafneusiedl
Österreich;Niederösterreich;2283;Obersiebenbrunn
Österreich;Niederösterreich;2284;Untersiebenbrunn
Österreich;Niederösterreich;2285;Leopoldsdorf im Marchfelde
Österreich;Niederösterreich;2286;Haringsee
Österreich;Niederösterreich;2291;Lassee
Österreich;Niederösterreich;2292;Engelhartstetten
Österreich;Niederösterreich;2293;Marchegg Stadt
Österreich;Niederösterreich;2294;Marchegg Bahnhof
Österreich;Niederösterreich;2295;Oberweiden
Österreich;Niederösterreich;2301;Groß-Enzersdorf
Österreich;Niederösterreich;2304;Orth an der Donau
Österreich;Niederösterreich;2305;Eckartsau
Österreich;Niederösterreich;2320;Schwechat
Österreich;Niederösterreich;2322;Zwölfaxing
Österreich;Niederösterreich;2325;Himberg
Österreich;Niederösterreich;2326;Maria Lanzendorf
Österreich;Niederösterreich;2331;Vösendorf
Österreich;Niederösterreich;2332;Hennersdorf
Österreich;Niederösterreich;2333;Leopoldsdorf
Österreich;Niederösterreich;2334;Vösendorf
Österreich;Niederösterreich;2340;Mödling
Österreich;Niederösterreich;2344;Maria Enzersdorf
Österreich;Niederösterreich;2345;Brunn am Gebirge
Österreich;Niederösterreich;2351;Wiener Neudorf
Österreich;Niederösterreich;2352;Gumpoldskirchen
Österreich;Niederösterreich;2353;Guntramsdorf
Österreich;Niederösterreich;2361;Laxenburg
Österreich;Niederösterreich;2362;Biedermannsdorf
Österreich;Niederösterreich;2371;Hinterbrühl
Österreich;Niederösterreich;2372;Gießhübl
Österreich;Niederösterreich;2380;Perchtoldsdorf
Österreich;Niederösterreich;2381;Laab im Walde
Österreich;Niederösterreich;2384;Breitenfurt bei Wien
Österreich;Niederösterreich;2391;Kaltenleutgeben
Österreich;Niederösterreich;2392;Sulz im Wienerwald
Österreich;Niederösterreich;2393;Sittendorf
Österreich;Niederösterreich;2401;Fischamend
Österreich;Niederösterreich;2402;Maria Ellend
Österreich;Niederösterreich;2403;Regelsbrunn
Österreich;Niederösterreich;2404;Petronell
Österreich;Niederösterreich;2405;Bad Deutsch Altenburg
Österreich;Niederösterreich;2410;Hainburg an der Donau
Österreich;Niederösterreich;2412;Wolfsthal
Österreich;Niederösterreich;2413;Berg
Österreich;Burgenland;2421;Kittsee
Österreich;Burgenland;2422;Pama
Österreich;Burgenland;2423;Deutsch Jahrndorf
Österreich;Burgenland;2424;Zurndorf
Österreich;Burgenland;2425;Nickelsdorf
Österreich;Niederösterreich;2431;Kleinneusiedl
Österreich;Niederösterreich;2432;Schwadorf
Österreich;Niederösterreich;2433;Margarethen am Moos
Österreich;Niederösterreich;2434;Götzendorf an der Leitha
Österreich;Niederösterreich;2435;Ebergassing
Österreich;Niederösterreich;2440;Gramatneusiedl
Österreich;Niederösterreich;2441;Mitterndorf an der Fischa
Österreich;Niederösterreich;2442;Unterwaltersdorf
Österreich;Niederösterreich;2443;Deutsch-Brodersdorf
Österreich;Niederösterreich;2444;Seibersdorf
Österreich;Niederösterreich;2451;Hof am Leithaberge
Österreich;Niederösterreich;2452;Mannersdorf am Leithagebirge
Österreich;Niederösterreich;2453;Sommerein
Österreich;Niederösterreich;2454;Trautmannsdorf an der Leitha
Österreich;Niederösterreich;2460;Bruck an der Leitha
Österreich;Niederösterreich;2462;Wilfleinsdorf
Österreich;Niederösterreich;2463;Stixneusiedl
Österreich;Niederösterreich;2464;Göttlesbrunn
Österreich;Niederösterreich;2465;Höflein
Österreich;Niederösterreich;2471;Rohrau
Österreich;Niederösterreich;2472;Prellenkirchen
Österreich;Burgenland;2473;Potzneusiedl
Österreich;Burgenland;2474;Gattendorf
Österreich;Burgenland;2475;Neudorf
Österreich;Niederösterreich;2481;Achau
Österreich;Niederösterreich;2482;Münchendorf
Österreich;Niederösterreich;2483;Ebreichsdorf
Österreich;Niederösterreich;2485;Wampersdorf
Österreich;Niederösterreich;2486;Pottendorf
Österreich;Niederösterreich;2490;Ebenfurth
Österreich;Burgenland;2491;Neufeld an der Leitha
Österreich;Niederösterreich;2492;Eggendorf
Österreich;Niederösterreich;2493;Lichtenwörth-Nadelburg
Österreich;Niederösterreich;2500;Baden
Österreich;Niederösterreich;2504;Sooß
Österreich;Niederösterreich;2511;Pfaffstätten
Österreich;Niederösterreich;2512;Tribuswinkel
Österreich;Niederösterreich;2514;Traiskirchen
Österreich;Niederösterreich;2521;Trumau
Österreich;Niederösterreich;2522;Oberwaltersdorf
Österreich;Niederösterreich;2523;Tattendorf
Österreich;Niederösterreich;2524;Teesdorf
Österreich;Niederösterreich;2525;Günselsdorf
Österreich;Niederösterreich;2531;Gaaden
Österreich;Niederösterreich;2532;Heiligenkreuz im Wienerwald
Österreich;Niederösterreich;2533;Klausen-Leopoldsdorf
Österreich;Niederösterreich;2534;Alland
Österreich;Niederösterreich;2540;Bad Vöslau
Österreich;Niederösterreich;2542;Kottingbrunn
Österreich;Niederösterreich;2544;Leobersdorf
Österreich;Niederösterreich;2551;Enzesfeld-Lindabrunn
Österreich;Niederösterreich;2552;Hirtenberg
Österreich;Niederösterreich;2560;Berndorf
Österreich;Niederösterreich;2561;Hernstein
Österreich;Niederösterreich;2563;Pottenstein
Österreich;Niederösterreich;2564;Weissenbach an der Triesting
Österreich;Niederösterreich;2565;Neuhaus
Österreich;Niederösterreich;2571;Altenmarkt-Thenneberg
Österreich;Niederösterreich;2572;Kaumberg
Österreich;Niederösterreich;2601;Sollenau
Österreich;Niederösterreich;2602;Blumau-Neurißhof
Österreich;Niederösterreich;2603;Felixdorf
Österreich;Niederösterreich;2604;Theresienfeld
Österreich;Niederösterreich;2620;Neunkirchen
Österreich;Niederösterreich;2624;Breitenau
Österreich;Niederösterreich;2625;Schwarzau am Steinfelde
Österreich;Niederösterreich;2630;Ternitz
Österreich;Niederösterreich;2631;Sieding-Stixenstein
Österreich;Niederösterreich;2632;Wimpassing im Schwarzatale
Österreich;Niederösterreich;2640;Gloggnitz
Österreich;Niederösterreich;2641;Schottwien
Österreich;Niederösterreich;2650;Payerbach
Österreich;Niederösterreich;2651;Reichenau an der Rax
Österreich;Niederösterreich;2654;Prein an der Rax
Österreich;Niederösterreich;2661;Naßwald
Österreich;Niederösterreich;2662;Schwarzau im Gebirge
Österreich;Niederösterreich;2663;Rohr im Gebirge
Österreich;Niederösterreich;2671;Küb
Österreich;Niederösterreich;2673;Breitenstein
Österreich;Niederösterreich;2680;Semmering
Österreich;Niederösterreich;2700;Wiener Neustadt
Österreich;Niederösterreich;2721;Bad Fischau
Österreich;Niederösterreich;2722;Winzendorf
Österreich;Niederösterreich;2723;Muthmannsdorf
Österreich;Niederösterreich;2724;Hohe Wand-Stollhof
Österreich;Niederösterreich;2731;St. Egyden am Steinfeld
Österreich;Niederösterreich;2732;Willendorf
Österreich;Niederösterreich;2733;Grünbach am Schneeberg
Österreich;Niederösterreich;2734;Puchberg am Schneeberg
Österreich;Niederösterreich;2751;Steinabrückl
Österreich;Niederösterreich;2752;Wöllersdorf
Österreich;Niederösterreich;2753;Markt Piesting
Österreich;Niederösterreich;2754;Waldegg
Österreich;Niederösterreich;2755;Oed
Österreich;Niederösterreich;2761;Miesenbach
Österreich;Niederösterreich;2763;Pernitz
Österreich;Niederösterreich;2770;Gutenstein
Österreich;Niederösterreich;2801;Katzelsdorf
Österreich;Niederösterreich;2802;Hochwolkersdorf
Österreich;Niederösterreich;2803;Schwarzenbach
Österreich;Niederösterreich;2811;Wiesmath
Österreich;Niederösterreich;2812;Hollenthon
Österreich;Niederösterreich;2813;Lichtenegg
Österreich;Niederösterreich;2820;Walpersbach
Österreich;Niederösterreich;2821;Lanzenkirchen
Österreich;Niederösterreich;2822;Bad Erlach
Österreich;Niederösterreich;2823;Pitten
Österreich;Niederösterreich;2824;Seebenstein
Österreich;Niederösterreich;2831;Warth
Österreich;Niederösterreich;2832;Thernberg
Österreich;Niederösterreich;2833;Bromberg
Österreich;Niederösterreich;2840;Grimmenstein
Österreich;Niederösterreich;2842;Edlitz
Österreich;Niederösterreich;2851;Krumbach
Österreich;Niederösterreich;2852;Hochneukirchen
Österreich;Niederösterreich;2853;Bad Schönau
Österreich;Niederösterreich;2860;Kirchschlag in der Buckligen Welt
Österreich;Niederösterreich;2870;Aspang
Österreich;Niederösterreich;2871;Zöbern
Österreich;Niederösterreich;2872;Mönichkirchen
Österreich;Niederösterreich;2873;Feistritz am Wechsel
Österreich;Niederösterreich;2880;Kirchberg am Wechsel
Österreich;Niederösterreich;2881;Trattenbach
Österreich;Niederösterreich;3001;Mauerbach
Österreich;Niederösterreich;3002;Purkersdorf
Österreich;Niederösterreich;3003;Gablitz
Österreich;Niederösterreich;3004;Ried am Riederberg
Österreich;Niederösterreich;3011;Untertullnerbach
Österreich;Niederösterreich;3012;Wolfsgraben
Österreich;Niederösterreich;3013;Tullnerbach-Lawies
Österreich;Niederösterreich;3021;Pressbaum
Österreich;Niederösterreich;3031;Rekawinkel
Österreich;Niederösterreich;3032;Eichgraben
Österreich;Niederösterreich;3033;Altlengbach
Österreich;Niederösterreich;3034;Maria Anzbach
Österreich;Niederösterreich;3040;Neulengbach
Österreich;Niederösterreich;3041;Asperhofen
Österreich;Niederösterreich;3042;Würmla
Österreich;Niederösterreich;3051;St. Christophen
Österreich;Niederösterreich;3052;Innermanzing
Österreich;Niederösterreich;3053;Laaben
Österreich;Niederösterreich;3061;Ollersbach
Österreich;Niederösterreich;3062;Kirchstetten
Österreich;Niederösterreich;3071;Böheimkirchen
Österreich;Niederösterreich;3072;Kasten bei Böheimkirchen
Österreich;Niederösterreich;3073;Stössing
Österreich;Niederösterreich;3074;Michelbach
Österreich;Niederösterreich;3100;St. Pölten
Österreich;Niederösterreich;3104;St. Pölten-Harland
Österreich;Niederösterreich;3105;St. Pölten-Radlberg
Österreich;Niederösterreich;3107;St. Pölten-Traisenpark
Österreich;Niederösterreich;3110;Neidling
Österreich;Niederösterreich;3121;Karlstetten
Österreich;Niederösterreich;3122;Gansbach
Österreich;Niederösterreich;3123;Obritzberg
Österreich;Niederösterreich;3124;Oberwölbling
Österreich;Niederösterreich;3125;Statzendorf
Österreich;Niederösterreich;3130;Herzogenburg
Österreich;Niederösterreich;3131;Getzersdorf
Österreich;Niederösterreich;3133;Traismauer
Österreich;Niederösterreich;3134;Nußdorf
Österreich;Niederösterreich;3140;Pottenbrunn
Österreich;Niederösterreich;3141;Kapelln
Österreich;Niederösterreich;3142;Perschling
Österreich;Niederösterreich;3143;Pyhra
Österreich;Niederösterreich;3144;Wald
Österreich;Niederösterreich;3150;Wilhelmsburg
Österreich;Niederösterreich;3151;St. Georgen am Steinfelde
Österreich;Niederösterreich;3153;Eschenau
Österreich;Niederösterreich;3160;Traisen
Österreich;Niederösterreich;3161;St. Veit an der Gölsen
Österreich;Niederösterreich;3162;Rainfeld
Österreich;Niederösterreich;3163;Rohrbach
Österreich;Niederösterreich;3170;Hainfeld
Österreich;Niederösterreich;3171;Kleinzell-Salzerbad
Österreich;Niederösterreich;3172;Ramsau
Österreich;Niederösterreich;3180;Lilienfeld
Österreich;Niederösterreich;3183;Freiland
Österreich;Niederösterreich;3184;Türnitz
Österreich;Niederösterreich;3192;Hohenberg
Österreich;Niederösterreich;3193;St. Aegyd am Neuwalde
Österreich;Niederösterreich;3195;Kernhof
Österreich;Niederösterreich;3200;Ober-Grafendorf
Österreich;Niederösterreich;3202;Hofstetten
Österreich;Niederösterreich;3203;Rabenstein an der Pielach
Österreich;Niederösterreich;3204;Kirchberg an der Pielach
Österreich;Niederösterreich;3205;Weinburg
Österreich;Niederösterreich;3211;Loich
Österreich;Niederösterreich;3212;Schwarzenbach an der Pielach
Österreich;Niederösterreich;3213;Frankenfels
Österreich;Niederösterreich;3214;Puchenstuben
Österreich;Niederösterreich;3221;Gösing an der Mariazellerbahn
Österreich;Niederösterreich;3222;Annaberg
Österreich;Niederösterreich;3223;Wienerbruck
Österreich;Niederösterreich;3224;Mitterbach
Österreich;Niederösterreich;3231;St. Margarethen an der Sierning
Österreich;Niederösterreich;3232;Bischofstetten
Österreich;Niederösterreich;3233;Kilb
Österreich;Niederösterreich;3240;Mank
Österreich;Niederösterreich;3241;Kirnberg an der Mank
Österreich;Niederösterreich;3242;Texing
Österreich;Niederösterreich;3243;St. Leonhard am Forst
Österreich;Niederösterreich;3244;Ruprechtshofen
Österreich;Niederösterreich;3250;Wieselburg
Österreich;Niederösterreich;3251;Purgstall
Österreich;Niederösterreich;3252;Petzenkirchen
Österreich;Niederösterreich;3253;Erlauf
Österreich;Niederösterreich;3254;Bergland
Österreich;Niederösterreich;3261;Steinakirchen am Forst
Österreich;Niederösterreich;3262;Wang
Österreich;Niederösterreich;3263;Randegg
Österreich;Niederösterreich;3264;Gresten
Österreich;Niederösterreich;3270;Scheibbs
Österreich;Niederösterreich;3281;Oberndorf an der Melk
Österreich;Niederösterreich;3282;St. Georgen an der Leys
Österreich;Niederösterreich;3283;St. Anton an der Jeßnitz
Österreich;Niederösterreich;3291;Kienberg
Österreich;Niederösterreich;3292;Gaming
Österreich;Niederösterreich;3293;Lunz am See
Österreich;Niederösterreich;3294;Langau
Österreich;Niederösterreich;3295;Lackenhof
Österreich;Niederösterreich;3300;Amstetten
Österreich;Niederösterreich;3304;St. Georgen am Ybbsfelde
Österreich;Niederösterreich;3311;Zeillern
Österreich;Niederösterreich;3312;Oed
Österreich;Niederösterreich;3313;Wallsee
Österreich;Niederösterreich;3314;Strengberg
Österreich;Niederösterreich;3321;Ardagger
Österreich;Niederösterreich;3322;Viehdorf
Österreich;Niederösterreich;3323;Neustadtl an der Donau
Österreich;Niederösterreich;3324;Euratsfeld
Österreich;Niederösterreich;3325;Ferschnitz
Österreich;Niederösterreich;3331;Kematen
Österreich;Niederösterreich;3332;Rosenau am Sonntagberg
Österreich;Niederösterreich;3333;Böhlerwerk
Österreich;Oberösterreich;3334;Gaflenz
Österreich;Oberösterreich;3335;Weyer
Österreich;Niederösterreich;3340;Waidhofen an der Ybbs
Österreich;Niederösterreich;3341;Ybbsitz
Österreich;Niederösterreich;3342;Opponitz
Österreich;Niederösterreich;3343;Hollenstein an der Ybbs
Österreich;Niederösterreich;3344;St. Georgen am Reith
Österreich;Niederösterreich;3345;Göstling an der Ybbs
Österreich;Niederösterreich;3350;Haag
Österreich;Niederösterreich;3351;Weistrach
Österreich;Niederösterreich;3352;St. Peter in der Au
Österreich;Niederösterreich;3353;Seitenstetten
Österreich;Niederösterreich;3354;Wolfsbach
Österreich;Niederösterreich;3355;Ertl
Österreich;Niederösterreich;3361;Aschbach Markt
Österreich;Niederösterreich;3362;Mauer-Öhling
Österreich;Niederösterreich;3363;Ulmerfeld-Hausmening
Österreich;Niederösterreich;3364;Neuhofen an der Ybbs
Österreich;Niederösterreich;3365;Allhartsberg
Österreich;Niederösterreich;3370;Ybbs an der Donau
Österreich;Niederösterreich;3371;Neumarkt an der Ybbs
Österreich;Niederösterreich;3372;Blindenmarkt
Österreich;Niederösterreich;3373;Kemmelbach
Österreich;Niederösterreich;3374;Säusenstein
Österreich;Niederösterreich;3375;Krummnußbaum
Österreich;Niederösterreich;3376;St. Martin-Karlsbach
Österreich;Niederösterreich;3380;Pöchlarn
Österreich;Niederösterreich;3381;Golling
Österreich;Niederösterreich;3382;Loosdorf
Österreich;Niederösterreich;3383;Hürm
Österreich;Niederösterreich;3384;Groß Sierning
Österreich;Niederösterreich;3385;Prinzersdorf
Österreich;Niederösterreich;3386;Hafnerbach
Österreich;Niederösterreich;3388;Markersdorf-Haindorf
Österreich;Niederösterreich;3390;Melk
Österreich;Niederösterreich;3392;Dunkelsteinerwald
Österreich;Niederösterreich;3393;Matzleinsdorf
Österreich;Niederösterreich;3394;Schönbühel-Aggsbach
Österreich;Niederösterreich;3400;Klosterneuburg
Österreich;Niederösterreich;3413;Hintersdorf
Österreich;Niederösterreich;3420;Kritzendorf
Österreich;Niederösterreich;3421;Höflein an der Donau
Österreich;Niederösterreich;3422;Greifenstein
Österreich;Niederösterreich;3423;St. Andrä-Wördern
Österreich;Niederösterreich;3424;Zeiselmauer
Österreich;Niederösterreich;3425;Langenlebarn
Österreich;Niederösterreich;3426;Muckendorf-Wipfing
Österreich;Niederösterreich;3430;Tulln an der Donau
Österreich;Niederösterreich;3433;Königstetten
Österreich;Niederösterreich;3434;Tulbing
Österreich;Niederösterreich;3435;Zwentendorf an der Donau
Österreich;Niederösterreich;3441;Judenau
Österreich;Niederösterreich;3442;Langenrohr
Österreich;Niederösterreich;3443;Sieghartskirchen
Österreich;Niederösterreich;3451;Michelhausen
Österreich;Niederösterreich;3452;Atzenbrugg
Österreich;Niederösterreich;3454;Sitzenberg-Reidling
Österreich;Niederösterreich;3462;Absdorf
Österreich;Niederösterreich;3463;Stetteldorf am Wagram
Österreich;Niederösterreich;3464;Hausleiten
Österreich;Niederösterreich;3465;Königsbrunn am Wagram
Österreich;Niederösterreich;3470;Kirchberg am Wagram
Österreich;Niederösterreich;3471;Großriedenthal
Österreich;Niederösterreich;3472;Hohenwarth
Österreich;Niederösterreich;3473;Mühlbach am Manhartsberg
Österreich;Niederösterreich;3474;Altenwörth
Österreich;Niederösterreich;3481;Fels am Wagram
Österreich;Niederösterreich;3482;Gösing am Wagram
Österreich;Niederösterreich;3483;Feuersbrunn
Österreich;Niederösterreich;3484;Grafenwörth
Österreich;Niederösterreich;3485;Haitzendorf
Österreich;Niederösterreich;3491;Straß im Straßertale
Österreich;Niederösterreich;3492;Etsdorf am Kamp
Österreich;Niederösterreich;3493;Hadersdorf am Kamp
Österreich;Niederösterreich;3494;Gedersdorf
Österreich;Niederösterreich;3495;Rohrendorf bei Krems
Österreich;Niederösterreich;3500;Krems an der Donau
Österreich;Niederösterreich;3506;Krems-Hollenburg
Österreich;Niederösterreich;3508;Paudorf
Österreich;Niederösterreich;3511;Furth bei Göttweig
Österreich;Niederösterreich;3512;Mautern
Österreich;Niederösterreich;3521;Obermeisling
Österreich;Niederösterreich;3522;Lichtenau
Österreich;Niederösterreich;3524;Grainbrunn
Österreich;Niederösterreich;3525;Sallingberg
Österreich;Niederösterreich;3531;Niedernondorf
Österreich;Niederösterreich;3532;Rastenfeld
Österreich;Niederösterreich;3533;Friedersbach
Österreich;Niederösterreich;3541;Senftenberg
Österreich;Niederösterreich;3542;Gföhl
Österreich;Niederösterreich;3543;Krumau am Kamp
Österreich;Niederösterreich;3544;Idolsberg
Österreich;Niederösterreich;3550;Langenlois
Österreich;Niederösterreich;3552;Lengenfeld
Österreich;Niederösterreich;3553;Schiltern
Österreich;Niederösterreich;3561;Zöbing
Österreich;Niederösterreich;3562;Schönberg
Österreich;Niederösterreich;3564;Plank am Kamp
Österreich;Niederösterreich;3571;Gars am Kamp
Österreich;Niederösterreich;3572;St. Leonhard am Hornerwald
Österreich;Niederösterreich;3573;Rosenburg
Österreich;Niederösterreich;3580;Horn
Österreich;Niederösterreich;3591;Altenburg
Österreich;Niederösterreich;3592;Röhrenbach
Österreich;Niederösterreich;3593;Neupölla
Österreich;Niederösterreich;3594;Franzen
Österreich;Niederösterreich;3595;Brunn an der Wild
Österreich;Niederösterreich;3601;Dürnstein
Österreich;Niederösterreich;3602;Rossatz
Österreich;Niederösterreich;3610;Weißenkirchen in der Wachau
Österreich;Niederösterreich;3611;Großheinrichschlag
Österreich;Niederösterreich;3613;Albrechtsberg an der Großen Krems
Österreich;Niederösterreich;3620;Spitz
Österreich;Niederösterreich;3621;Mitterarnsdorf
Österreich;Niederösterreich;3622;Mühldorf
Österreich;Niederösterreich;3623;Kottes
Österreich;Niederösterreich;3631;Ottenschlag
Österreich;Niederösterreich;3632;Bad Traunstein
Österreich;Niederösterreich;3633;Schönbach
Österreich;Niederösterreich;3641;Aggsbach Markt
Österreich;Niederösterreich;3642;Aggsbach Dorf
Österreich;Niederösterreich;3643;Maria Laach am Jauerling
Österreich;Niederösterreich;3644;Emmersdorf an der Donau
Österreich;Niederösterreich;3650;Pöggstall
Österreich;Niederösterreich;3652;Leiben
Österreich;Niederösterreich;3653;Weiten
Österreich;Niederösterreich;3654;Raxendorf
Österreich;Niederösterreich;3660;Klein-Pöchlarn
Österreich;Niederösterreich;3661;Artstetten
Österreich;Niederösterreich;3662;Münichreith
Österreich;Niederösterreich;3663;Laimbach am Ostrong
Österreich;Niederösterreich;3664;Martinsberg
Österreich;Niederösterreich;3665;Gutenbrunn
Österreich;Niederösterreich;3671;Marbach an der Donau
Österreich;Niederösterreich;3672;Maria Taferl
Österreich;Niederösterreich;3680;Persenbeug
Österreich;Niederösterreich;3681;Hofamt Priel
Österreich;Niederösterreich;3683;Yspertal
Österreich;Niederösterreich;3684;St. Oswald
Österreich;Niederösterreich;3691;Nöchling
Österreich;Niederösterreich;3701;Großweikersdorf
Österreich;Niederösterreich;3702;Niederrußbach
Österreich;Niederösterreich;3704;Glaubendorf
Österreich;Niederösterreich;3710;Ziersdorf
Österreich;Niederösterreich;3711;Großmeiseldorf
Österreich;Niederösterreich;3712;Maissau
Österreich;Niederösterreich;3713;Harmannsdorf
Österreich;Niederösterreich;3714;Sitzendorf an der Schmida
Österreich;Niederösterreich;3720;Ravelsbach
